modification	D_melanogaster_URL	start_build	end_build	liftover_URL	liftover_path
replication_timing	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM336nnn/GSM336376/suppl/GSM336376%5FS2%5Freplication%5Ftiming.txt.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H4Ac	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20759/suppl/GSE20759%5Frepset.3211344.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H2B-ubiq	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20773/suppl/GSE20773%5Frepset.4162649.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K18ac	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20775/suppl/GSE20775%5Frepset.3506196.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K23ac	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20777/suppl/GSE20777%5Frepset.3506195.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K27Ac	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20779/suppl/GSE20779%5Frepset.3211339.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K27me3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20781/suppl/GSE20781%5Frepset.4621697.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K36me3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20785/suppl/GSE20785%5Frepset.3211313.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K4me1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20786/suppl/GSE20786%5Frepset.3211335.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K4Me3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20787/suppl/GSE20787%5Frepset.3211336.smoothedM.bedgraph.gz	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
H3K79Me2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20789	BDGP5	BDGP6	https://hgdownload.cse.ucsc.edu/goldenPath/dm3/liftOver/dm3ToDm6.over.chain.gz	dm3ToDm6.over.chain
