# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSG00000285674	ENST00000648813		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7SK	ENSG00000274303	ENST00000621414	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2ML1	ENSG00000166535	ENST00000299698	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2ML1-AS1	ENSG00000256661	ENST00000537288		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A2ML1-AS2	ENSG00000256904	ENST00000394240		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2MP1	ENSG00000256069	ENST00000566278	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A2MP1	ENSG00000291190	ENST00000543404		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A3GALT2	ENSG00000184389	ENST00000442999	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A4GNT	ENSG00000118017	ENST00000236709	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AA06	ENSG00000265544	ENST00000579745		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AACS	ENSG00000081760	ENST00000316519	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0
AACSP1	ENSG00000250420	ENST00000521412	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AACSP1	ENSG00000291019	ENST00000503486		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AADAC	ENSG00000114771	ENST00000232892	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	ENSG00000242908	ENST00000754423		0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAGAB	ENSG00000103591	ENST00000261880	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000606389	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AARS2	ENSG00000124608	ENST00000244571	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	ENSG00000157426	ENST00000205214	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AASDHPPT	ENSG00000149313	ENST00000278618	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AASS	ENSG00000008311	ENST00000393376	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AATF	ENSG00000275700	ENST00000619387	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AATK	ENSG00000181409	ENST00000326724	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABALON	ENSG00000281376	ENST00000629058		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA1	ENSG00000165029	ENST00000678995	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA11P	ENSG00000251595	ENST00000504019	transcribed_processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA11P	ENSG00000293360	ENST00000451020		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCA12	ENSG00000144452	ENST00000272895	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
